TO REVIEW COLLECTED DATA FROM DM01DB01 - CCBS DATABASE - VKTM PRIORITY 



F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S oracle   14046     1  0  75   0 - 10544891 ?   Sep06 ?        00:00:12 ora_pmon_ccbs1
0 S oracle   14048     1  0  75   0 - 10544338 ?   Sep06 ?        00:00:01 ora_psp0_ccbs1
0 S oracle   14050     1  0  58   - - 10544222 ?   Sep06 ?        00:00:00 ora_vktm_ccbs1
0 S oracle   14054     1  0  75   0 - 10544572 ?   Sep06 ?        00:00:00 ora_gen0_ccbs1
0 S oracle   14056     1  0  75   0 - 10545761 ?   Sep06 ?        00:00:01 ora_diag_ccbs1
0 S oracle   14058     1  0  75   0 - 10544753 ?   Sep06 ?        00:00:00 ora_dbrm_ccbs1
0 S oracle   14060     1  0  75   0 - 10544222 ?   Sep06 ?        00:00:03 ora_ping_ccbs1
0 S oracle   14062     1  0  78   0 - 10544222 ?   Sep06 ?        00:00:00 ora_acms_ccbs1
0 S oracle   14064     1  0  75   0 - 10544446 ?   Sep06 ?        00:00:14 ora_dskm_ccbs1
0 S oracle   14066     1  0  75   0 - 10551153 ?   Sep06 ?        00:11:54 ora_dia0_ccbs1
0 S oracle   14068     1  0  75   0 - 10547355 ?   Sep06 ?        00:02:51 ora_lmon_ccbs1
0 S oracle   14071     1  0  75   0 - 10548362 ?   Sep06 ?        00:01:01 ora_lmd0_ccbs1
0 S oracle   14073     1  0  58   - - 10548062 ?   Sep06 ?        00:22:30 ora_lms0_ccbs1
0 S oracle   14077     1  0  58   - - 10548062 ?   Sep06 ?        00:19:51 ora_lms1_ccbs1
0 S oracle   14081     1  0  75   0 - 10544222 ?   Sep06 ?        00:00:00 ora_rms0_ccbs1
0 S oracle   14083     1  0  75   0 - 10544369 ?   Sep06 ?        00:00:00 ora_lmhb_ccbs1
0 S oracle   14085     1  0  75   0 - 10544222 ?   Sep06 ?        00:00:01 ora_mman_ccbs1
0 S oracle   14087     1  0  75   0 - 10557707 ?   Sep06 ?        00:13:32 ora_dbw0_ccbs1
0 S oracle   14089     1  0  75   0 - 10555972 ?   Sep06 ?        00:13:28 ora_dbw1_ccbs1
