TO REVIEW COLLECTED DATA FROM DM01DB02 - CCBS DATABASE - VKTM PRIORITY 



F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S oracle    6716     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p058_ccbs2
0 S oracle    6718     1  0  75   0 - 10546145 ?   10:55 ?        00:00:00 ora_p059_ccbs2
0 S oracle    6721     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p060_ccbs2
0 S oracle    6799     1  0  75   0 - 10546444 ?   10:55 ?        00:00:00 ora_p061_ccbs2
0 S oracle    6801     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p062_ccbs2
0 S oracle    6803     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p063_ccbs2
0 S oracle    6806     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p064_ccbs2
0 S oracle    6808     1  0  75   0 - 10546147 ?   10:55 ?        00:00:01 ora_p065_ccbs2
0 S oracle    6810     1  0  75   0 - 10546145 ?   10:55 ?        00:00:00 ora_p066_ccbs2
0 S oracle    6851     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p067_ccbs2
0 S oracle    6853     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p068_ccbs2
0 S oracle    6859     1  0  75   0 - 10546149 ?   10:55 ?        00:00:00 ora_p069_ccbs2
0 S oracle    6861     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p070_ccbs2
0 S oracle    6863     1  0  75   0 - 10546148 ?   10:55 ?        00:00:01 ora_p071_ccbs2
0 S oracle    6865     1  0  75   0 - 10546148 ?   10:55 ?        00:00:00 ora_p072_ccbs2
0 S oracle    6867     1  0  75   0 - 10546148 ?   10:55 ?        00:00:00 ora_p073_ccbs2
0 S oracle    6869     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p074_ccbs2
0 S oracle    6871     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p075_ccbs2
0 S oracle    6873     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p076_ccbs2
0 S oracle    6875     1  0  75   0 - 10546444 ?   10:55 ?        00:00:01 ora_p077_ccbs2
0 S oracle    6877     1  0  75   0 - 10546145 ?   10:55 ?        00:00:00 ora_p078_ccbs2
0 S oracle    6879     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p079_ccbs2
0 S oracle    6881     1  0  75   0 - 10546144 ?   10:55 ?        00:00:01 ora_p080_ccbs2
0 S oracle    6883     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p081_ccbs2
0 S oracle    6885     1  0  75   0 - 10546145 ?   10:55 ?        00:00:00 ora_p082_ccbs2
0 S oracle    6888     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p083_ccbs2
0 S oracle    6890     1  0  75   0 - 10546149 ?   10:55 ?        00:00:01 ora_p084_ccbs2
0 S oracle    6893     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p085_ccbs2
0 S oracle    6895     1  0  75   0 - 10546400 ?   10:55 ?        00:00:00 ora_p086_ccbs2
0 S oracle    6897     1  0  75   0 - 10546400 ?   10:55 ?        00:00:00 ora_p087_ccbs2
0 S oracle    6899     1  0  75   0 - 10546145 ?   10:55 ?        00:00:00 ora_p088_ccbs2
0 S oracle    6901     1  0  75   0 - 10546147 ?   10:55 ?        00:00:00 ora_p089_ccbs2
0 S oracle    6903     1  0  75   0 - 10546153 ?   10:55 ?        00:00:01 ora_p090_ccbs2
0 S oracle    6905     1  0  75   0 - 10546144 ?   10:55 ?        00:00:01 ora_p091_ccbs2
0 S oracle    6907     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p092_ccbs2
