  49 | 01/06/2012 | 12:42:28 | System Firmware Progress | Keyboard controller initialization | Asserted
  4a | 01/06/2012 | 12:42:40 | System Firmware Progress | Option ROM initialization | Asserted
  4b | 01/06/2012 | 12:42:43 | System Firmware Progress | Option ROM initialization | Asserted
  4c | 01/06/2012 | 12:43:02 | System Firmware Progress | System boot initiated | Asserted
  4d | 01/06/2012 | 16:17:30 | System Boot Initiated | Initiated by warm reset | Asserted
  4e | 01/06/2012 | 16:17:30 | System Firmware Progress | Memory initialization | Asserted
  4f | 01/06/2012 | 16:17:30 | System Firmware Progress | Primary CPU initialization | Asserted
  50 | 01/06/2012 | 16:18:08 | System Firmware Progress | Management controller initialization | Asserted
  51 | 01/06/2012 | 16:18:08 | System Firmware Progress | Secondary CPU Initialization | Asserted
  52 | 01/06/2012 | 16:18:17 | System Firmware Progress | Video initialization | Asserted
  53 | 01/06/2012 | 16:18:24 | System Firmware Progress | Keyboard controller initialization | Asserted
  54 | 01/06/2012 | 16:18:36 | System Firmware Progress | Option ROM initialization | Asserted
  55 | 01/06/2012 | 16:18:39 | System Firmware Progress | Option ROM initialization | Asserted
  56 | 01/06/2012 | 16:18:58 | System Firmware Progress | System boot initiated | Asserted
  57 | 01/09/2012 | 12:27:20 | System Boot Initiated | Initiated by warm reset | Asserted
  58 | 01/09/2012 | 12:27:20 | System Firmware Progress | Memory initialization | Asserted
  59 | 01/09/2012 | 12:27:20 | System Firmware Progress | Primary CPU initialization | Asserted
  5a | 01/09/2012 | 12:27:57 | System Firmware Progress | Management controller initialization | Asserted
  5b | 01/09/2012 | 12:27:57 | System Firmware Progress | Secondary CPU Initialization | Asserted
  5c | 01/09/2012 | 12:28:07 | System Firmware Progress | Video initialization | Asserted
  5d | 01/09/2012 | 12:28:14 | System Firmware Progress | Keyboard controller initialization | Asserted
  5e | 01/09/2012 | 12:28:26 | System Firmware Progress | Option ROM initialization | Asserted
  5f | 01/09/2012 | 12:28:29 | System Firmware Progress | Option ROM initialization | Asserted
  60 | 01/09/2012 | 12:28:48 | System Firmware Progress | System boot initiated | Asserted
  61 | 01/09/2012 | 14:30:19 | System Boot Initiated | Initiated by warm reset | Asserted
  62 | 01/09/2012 | 14:30:19 | System Firmware Progress | Memory initialization | Asserted
  63 | 01/09/2012 | 14:30:20 | System Firmware Progress | Primary CPU initialization | Asserted
  64 | 01/09/2012 | 14:30:56 | System Firmware Progress | Management controller initialization | Asserted
  65 | 01/09/2012 | 14:30:56 | System Firmware Progress | Secondary CPU Initialization | Asserted
  66 | 01/09/2012 | 14:31:06 | System Firmware Progress | Video initialization | Asserted
  67 | 01/09/2012 | 14:31:13 | System Firmware Progress | Keyboard controller initialization | Asserted
  68 | 01/09/2012 | 14:31:25 | System Firmware Progress | Option ROM initialization | Asserted
  69 | 01/09/2012 | 14:31:28 | System Firmware Progress | Option ROM initialization | Asserted
  6a | 01/09/2012 | 14:31:47 | System Firmware Progress | System boot initiated | Asserted
  6b | 01/12/2012 | 20:48:54 | System Boot Initiated | Initiated by warm reset | Asserted
  6c | 01/12/2012 | 20:48:55 | System Firmware Progress | Memory initialization | Asserted
  6d | 01/12/2012 | 20:48:55 | System Firmware Progress | Primary CPU initialization | Asserted
  6e | 01/12/2012 | 20:49:35 | System Firmware Progress | Management controller initialization | Asserted
  6f | 01/12/2012 | 20:49:35 | System Firmware Progress | Secondary CPU Initialization | Asserted
  70 | 01/12/2012 | 20:49:44 | System Firmware Progress | Video initialization | Asserted
  71 | 01/12/2012 | 20:49:51 | System Firmware Progress | Keyboard controller initialization | Asserted
  72 | 01/12/2012 | 20:50:03 | System Firmware Progress | Option ROM initialization | Asserted
  73 | 01/12/2012 | 20:50:06 | System Firmware Progress | Option ROM initialization | Asserted
  74 | 01/12/2012 | 20:50:25 | System Firmware Progress | System boot initiated | Asserted
  75 | 01/12/2012 | 21:29:33 | System Boot Initiated | Initiated by warm reset | Asserted
  76 | 01/12/2012 | 21:29:34 | System Firmware Progress | Memory initialization | Asserted
  77 | 01/12/2012 | 21:29:34 | System Firmware Progress | Primary CPU initialization | Asserted
  78 | 01/12/2012 | 21:30:11 | System Firmware Progress | Management controller initialization | Asserted
  79 | 01/12/2012 | 21:30:11 | System Firmware Progress | Secondary CPU Initialization | Asserted
  7a | 01/12/2012 | 21:30:20 | System Firmware Progress | Video initialization | Asserted
  7b | 01/12/2012 | 21:30:27 | System Firmware Progress | Keyboard controller initialization | Asserted
  7c | 01/12/2012 | 21:30:39 | System Firmware Progress | Option ROM initialization | Asserted
  7d | 01/12/2012 | 21:30:42 | System Firmware Progress | Option ROM initialization | Asserted
  7e | 01/12/2012 | 21:31:01 | System Firmware Progress | System boot initiated | Asserted
  7f | 01/12/2012 | 23:47:59 | System Boot Initiated | Initiated by warm reset | Asserted
  80 | 01/12/2012 | 23:47:59 | System Firmware Progress | Memory initialization | Asserted
  81 | 01/12/2012 | 23:47:59 | System Firmware Progress | Primary CPU initialization | Asserted
  82 | 01/12/2012 | 23:48:36 | System Firmware Progress | Management controller initialization | Asserted
  83 | 01/12/2012 | 23:48:36 | System Firmware Progress | Secondary CPU Initialization | Asserted
  84 | 01/12/2012 | 23:48:45 | System Firmware Progress | Video initialization | Asserted
  85 | 01/12/2012 | 23:48:52 | System Firmware Progress | Keyboard controller initialization | Asserted
  86 | 01/12/2012 | 23:49:04 | System Firmware Progress | Option ROM initialization | Asserted
  87 | 01/12/2012 | 23:49:07 | System Firmware Progress | Option ROM initialization | Asserted
  88 | 01/12/2012 | 23:49:26 | System Firmware Progress | System boot initiated | Asserted
  89 | 01/13/2012 | 13:12:39 | System Boot Initiated | Initiated by warm reset | Asserted
  8a | 01/13/2012 | 13:12:39 | System Firmware Progress | Memory initialization | Asserted
  8b | 01/13/2012 | 13:12:39 | System Firmware Progress | Primary CPU initialization | Asserted
  8c | 01/13/2012 | 13:13:24 | System Firmware Progress | Management controller initialization | Asserted
  8d | 01/13/2012 | 13:13:24 | System Firmware Progress | Secondary CPU Initialization | Asserted
  8e | 01/13/2012 | 13:13:33 | System Firmware Progress | Video initialization | Asserted
  8f | 01/13/2012 | 13:13:40 | System Firmware Progress | Keyboard controller initialization | Asserted
  90 | 01/13/2012 | 13:13:52 | System Firmware Progress | Option ROM initialization | Asserted
  91 | 01/13/2012 | 13:13:55 | System Firmware Progress | Option ROM initialization | Asserted
  92 | 01/13/2012 | 13:14:14 | System Firmware Progress | System boot initiated | Asserted
  93 | 01/18/2012 | 10:22:27 | System ACPI Power State #0x26 | S0/G0: working | Deasserted
  94 | 01/18/2012 | 10:22:27 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
  95 | 01/19/2012 | 08:17:34 | Voltage #0x6d | Lower Critical going low 
  96 | 01/19/2012 | 08:17:40 | Voltage #0x6d | Lower Non-recoverable going low 
  97 | 02/03/2012 | 08:54:21 | System Boot Initiated | Initiated by hard reset | Asserted
  98 | 02/03/2012 | 08:54:21 | System Firmware Progress | Memory initialization | Asserted
  99 | 02/03/2012 | 08:54:21 | System Firmware Progress | Primary CPU initialization | Asserted
  9a | 02/03/2012 | 09:06:21 | Button | Power Button pressed | Asserted
  9b | 02/03/2012 | 09:06:23 | System Boot Initiated | Initiated by hard reset | Asserted
  9c | 02/03/2012 | 09:06:23 | System Firmware Progress | Memory initialization | Asserted
  9d | 02/03/2012 | 09:06:23 | System Firmware Progress | Primary CPU initialization | Asserted
  9e | 02/03/2012 | 09:07:18 | System Boot Initiated | Initiated by warm reset | Asserted
  9f | 02/03/2012 | 09:07:18 | System Firmware Progress | Memory initialization | Asserted
  a0 | 02/03/2012 | 09:07:18 | System Firmware Progress | Primary CPU initialization | Asserted
  a1 | 02/03/2012 | 09:07:20 | System Boot Initiated | Initiated by hard reset | Asserted
  a2 | 02/03/2012 | 09:07:20 | System Firmware Progress | Memory initialization | Asserted
  a3 | 02/03/2012 | 09:07:20 | System Firmware Progress | Primary CPU initialization | Asserted
  a4 | 02/03/2012 | 09:07:21 | System ACPI Power State #0x26 | S0/G0: working | Asserted
  a5 | 02/03/2012 | 09:07:21 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
  a6 | 02/03/2012 | 09:07:22 | System Boot Initiated | Initiated by warm reset | Asserted
  a7 | 02/03/2012 | 09:07:23 | System Firmware Progress | Memory initialization | Asserted
  a8 | 02/03/2012 | 09:07:23 | System Firmware Progress | Primary CPU initialization | Asserted
  a9 | 02/03/2012 | 09:07:59 | System Firmware Progress | Management controller initialization | Asserted
  aa | 02/03/2012 | 09:07:59 | System Firmware Progress | Secondary CPU Initialization | Asserted
  ab | 02/03/2012 | 09:08:09 | System Firmware Progress | Video initialization | Asserted
  ac | 02/03/2012 | 09:08:15 | System Firmware Progress | Keyboard controller initialization | Asserted
  ad | 02/03/2012 | 09:08:27 | System Firmware Progress | Option ROM initialization | Asserted
