   1 | 12/13/2011 | 02:00:32 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
   2 | 12/13/2011 | 02:31:04 | System Boot Initiated | System Restart | Asserted
   3 | 12/13/2011 | 02:31:05 | System Boot Initiated | Initiated by hard reset | Asserted
   4 | 12/13/2011 | 02:31:05 | System Firmware Progress | Memory initialization | Asserted
   5 | 12/13/2011 | 02:31:05 | System Firmware Progress | Primary CPU initialization | Asserted
   6 | 12/13/2011 | 02:31:07 | System Boot Initiated | Initiated by warm reset | Asserted
   7 | 12/13/2011 | 02:31:08 | System Firmware Progress | Memory initialization | Asserted
   8 | 12/13/2011 | 02:31:08 | System Firmware Progress | Primary CPU initialization | Asserted
   9 | 12/13/2011 | 02:31:09 | System Boot Initiated | Initiated by warm reset | Asserted
   a | 12/13/2011 | 02:31:09 | System Firmware Progress | Memory initialization | Asserted
   b | 12/13/2011 | 02:31:09 | System Firmware Progress | Primary CPU initialization | Asserted
   c | 12/13/2011 | 02:31:14 | System ACPI Power State #0x26 | S0/G0: working | Asserted
   d | 12/13/2011 | 02:31:14 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
   e | 12/13/2011 | 02:31:51 | System Firmware Progress | Management controller initialization | Asserted
   f | 12/13/2011 | 02:31:51 | System Firmware Progress | Secondary CPU Initialization | Asserted
  10 | 12/13/2011 | 02:32:06 | System Firmware Progress | Video initialization | Asserted
  11 | 12/13/2011 | 02:32:12 | System Firmware Progress | Keyboard controller initialization | Asserted
  12 | 12/13/2011 | 02:32:24 | System Firmware Progress | Option ROM initialization | Asserted
  13 | 12/13/2011 | 02:32:27 | System Firmware Progress | Option ROM initialization | Asserted
  14 | 12/13/2011 | 02:32:31 | System Firmware Progress | Option ROM initialization | Asserted
  15 | 12/13/2011 | 02:32:34 | System Firmware Progress | Option ROM initialization | Asserted
  16 | 12/13/2011 | 02:32:37 | System Firmware Progress | Option ROM initialization | Asserted
  17 | 12/13/2011 | 02:32:52 | System Firmware Progress | Option ROM initialization | Asserted
  18 | 12/13/2011 | 02:32:56 | System Firmware Progress | Option ROM initialization | Asserted
  19 | 12/13/2011 | 02:33:04 | System Firmware Progress | System boot initiated | Asserted
  1a | 12/13/2011 | 03:42:00 | System ACPI Power State #0x26 | S0/G0: working | Deasserted
  1b | 12/13/2011 | 03:42:00 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
  1c | 01/05/2012 | 14:08:59 | Power Supply #0x65 | State Deasserted
  1d | 01/05/2012 | 14:09:00 | System Boot Initiated | Initiated by hard reset | Asserted
  1e | 01/05/2012 | 14:09:00 | System Firmware Progress | Memory initialization | Asserted
  1f | 01/05/2012 | 14:09:00 | System Firmware Progress | Primary CPU initialization | Asserted
  20 | 01/05/2012 | 14:09:40 | Voltage #0x6d | Lower Critical going high
  21 | 01/05/2012 | 14:09:40 | Power Supply #0x65 | State Asserted
  22 | 01/05/2012 | 16:31:53 | Button | Power Button pressed | Asserted
  23 | 01/05/2012 | 16:31:55 | System Boot Initiated | Initiated by hard reset | Asserted
  24 | 01/05/2012 | 16:31:55 | System Firmware Progress | Memory initialization | Asserted
  25 | 01/05/2012 | 16:31:55 | System Firmware Progress | Primary CPU initialization | Asserted
  26 | 01/05/2012 | 16:31:58 | System Boot Initiated | Initiated by warm reset | Asserted
  27 | 01/05/2012 | 16:31:58 | System Firmware Progress | Memory initialization | Asserted
  28 | 01/05/2012 | 16:31:58 | System Firmware Progress | Primary CPU initialization | Asserted
  29 | 01/05/2012 | 16:32:00 | System Boot Initiated | Initiated by hard reset | Asserted
  2a | 01/05/2012 | 16:32:00 | System Firmware Progress | Memory initialization | Asserted
  2b | 01/05/2012 | 16:32:00 | System Firmware Progress | Primary CPU initialization | Asserted
  2c | 01/05/2012 | 16:32:02 | System Boot Initiated | Initiated by warm reset | Asserted
  2d | 01/05/2012 | 16:32:02 | System ACPI Power State #0x26 | S0/G0: working | Asserted
  2e | 01/05/2012 | 16:32:02 | System Firmware Progress | Memory initialization | Asserted
  2f | 01/05/2012 | 16:32:02 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
  30 | 01/05/2012 | 16:32:02 | System Firmware Progress | Primary CPU initialization | Asserted
